ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,above1,above2,above,below1,below2,below,biomass,status
1,6,A,invaded,sterile,Churchill,1,1,4,0.935,2.265,4.415,6.89,9.115,9.44,10.04,7.775,0.1402,0.1412,0.1407,0.1012,0.1009,0.10105,0.24175,alive
2,1,B,uninvaded,sterile,Churchill,1,1,4,0.7,1.475,2.17,3.765,5.81,10.145,10.77,9.295,0.1503,0.1493,0.1498,0.077,0.0776,0.0773,0.2271,alive
3,9,A,invaded,live,airport,1,1,4,1.085,2.22,3.98,5.23,7.675,9.055,9.96,7.74,0.1734,0.1723,0.17285,0.1047,0.1046,0.10465,0.2775,alive
4,18,B,uninvaded,live,CNSC,1,1,4,1.325,2.575,4.55,5.2,6.795,8.2,9.685,7.11,0.1249,0.1254,0.12515,0.0732,0.0722,0.0727,0.19785,alive
5,18,A,invaded,sterile,CNSC,1,1,4,0.77,2.83,4.215,5.785,7.055,8.935,11.2,8.37,0.1072,0.107,0.1071,0.0621,0.0617,0.0619,0.169,alive
6,16,A,invaded,sterile,airport,1,1,4,0.99,2.605,4.34,6.13,8.45,8.91,9.32,6.715,0.1507,0.1499,0.1503,0.075,0.0738,0.0744,0.2247,alive
7,8,A,invaded,live,Churchill,1,1,2,0.855,2.065,3.455,6.15,8.13,10.26,11.98,9.915,0.1868,0.1859,0.18635,0.1123,0.1112,0.11175,0.2981,alive
8,8,B,uninvaded,live,Churchill,1,1,4,1.19,3.99,6.715,9.6,12.815,14.745,17.93,13.94,0.2796,0.2788,0.2792,0.1336,0.1335,0.13355,0.41275,alive
9,14,B,uninvaded,live,Churchill,1,1,4,1.12,2.855,5.875,7.78,9.6,10.32,10.97,8.115,0.2121,0.2125,0.2123,0.1259,0.1257,0.1258,0.3381,alive
10,6,A,invaded,live,Churchill,1,1,4,1.14,2.805,5.32,8.06,8.945,9.22,9.45,6.645,0.2358,0.2354,0.2356,0.1327,0.1328,0.13275,0.36835,alive
11,12,B,uninvaded,sterile,airport,1,1,4,1.2,3.625,5.195,8.405,12.42,15.19,16.455,12.83,0.3332,0.3326,0.3329,0.1276,0.1268,0.1272,0.4601,alive
12,7,A,invaded,sterile,Churchill,1,1,4,1.09,2.28,3.52,4.955,8.415,9.8,11.82,9.54,0.2371,0.2362,0.23665,0.1027,0.103,0.10285,0.3395,alive
13,9,B,uninvaded,sterile,airport,1,1,4,1.07,4.3,5.935,9.24,12.19,15.31,17.68,13.38,0.2723,0.2721,0.2722,0.1283,0.1282,0.12825,0.40045,alive
14,7,B,uninvaded,sterile,Churchill,1,1,4,0.985,2.615,3.39,5.48,8.125,9.2,11.765,9.15,0.1771,0.1764,0.17675,0.1166,0.1164,0.1165,0.29325,alive
15,6,B,uninvaded,live,Churchill,1,1,4,1.09,3.395,6.05,7.435,9.225,9.95,10.81,7.415,0.1056,0.1057,0.10565,0.0739,0.0735,0.0737,0.17935,alive
16,7,B,uninvaded,live,Churchill,1,1,4,1.5,2.205,4.66,6.76,9.17,10.68,14.765,12.56,0.174,0.1738,0.1739,0.1267,0.1263,0.1265,0.3004,alive
17,1,A,invaded,sterile,Churchill,1,1,4,0.895,2.11,3.64,4.7,7.405,8.655,10.52,8.41,0.2062,0.2064,0.2063,0.1074,0.1077,0.10755,0.31385,alive
18,17,B,uninvaded,sterile,CNSC,1,1,4,0.985,2.245,3.595,5.525,7.915,8.935,10.8,8.555,0.1943,0.194,0.19415,0.0984,0.0983,0.09835,0.2925,alive
19,12,A,invaded,live,airport,1,1,4,1.25,1.695,3.39,4.73,8.76,11.19,13.495,11.8,0.1802,0.1804,0.1803,0.1013,0.101,0.10115,0.28145,alive
20,8,B,uninvaded,sterile,Churchill,1,1,4,1.72,3.23,4.46,5.605,7.7,8.91,10.06,6.83,0.1724,0.1721,0.17225,0.0906,0.0903,0.09045,0.2627,alive
21,10,B,uninvaded,sterile,airport,1,1,4,1.28,2.32,4.08,6.48,9.265,11.98,13.575,11.255,0.2682,0.2683,0.26825,0.1655,0.1654,0.16545,0.4337,alive
22,9,B,uninvaded,live,airport,1,1,4,1.5,2.485,3.895,6.5,9.98,11.165,11.805,9.32,0.2271,0.2269,0.227,0.0972,0.0958,0.0965,0.3235,alive
23,1,A,invaded,live,Churchill,1,1,4,1.265,2.51,4.805,5.57,7.97,8.7,9.995,7.485,0.1511,0.1513,0.1512,0.0804,0.0799,0.08015,0.23135,alive
24,11,B,uninvaded,live,airport,1,1,4,1.9,3.76,5.125,6.525,7.495,9.51,12.6,8.84,0.2682,0.2675,0.26785,0.1137,0.1139,0.1138,0.38165,alive
25,14,A,invaded,sterile,Churchill,1,1,4,0.975,2.52,3.645,4.51,6.905,9.53,11.67,9.15,0.1356,0.1363,0.13595,0.0604,0.0601,0.06025,0.1962,alive
26,15,A,invaded,live,Churchill,1,1,2,0.34,1.35,1.535,dead,,,,-1.35,,,,,,,NA,dead
27,16,B,uninvaded,live,airport,1,1,4,1.305,3.04,3.905,4.565,5.91,7.245,9.895,6.855,0.1291,0.1287,0.1289,0.0685,0.0683,0.0684,0.1973,alive
28,13,B,uninvaded,sterile,airport,1,1,2,0.285,0.865,1.27,1.46,1.56,1.88,2.24,1.375,,,,,,,NA,dead
29,9,A,invaded,sterile,airport,1,1,4,1.105,2.155,3.417,5.775,8.235,9.265,9.865,7.71,0.1497,0.1504,0.15005,0.094,0.0937,0.09385,0.2439,alive
30,15,A,invaded,sterile,Churchill,1,1,2,0.325,1.39,2.22,3.515,4.795,6.57,8.93,7.54,0.0212,0.0208,0.021,0.0036,0.0034,0.0035,0.0245,alive
31,10,A,invaded,sterile,airport,1,1,4,1.2,2.125,4.055,4.91,9.67,11.81,16.055,13.93,0.2085,0.2079,0.2082,0.097,0.0965,0.09675,0.30495,alive
32,13,A,invaded,sterile,airport,1,1,2,0.44,0.605,1.05,dead,,,,-0.605,,,,,,,NA,dead
33,17,A,invaded,live,CNSC,1,1,2,0.87,1.29,2.89,3.485,4.995,6.865,10.24,8.95,0.1028,0.1024,0.1026,0.0593,0.059,0.05915,0.16175,alive
34,6,B,uninvaded,sterile,Churchill,1,1,2,0.25,0.975,1.23,1.84,3.415,4.175,7.195,6.22,0.0256,0.0252,0.0254,0.0053,0.0053,0.0053,0.0307,alive
35,14,B,uninvaded,sterile,Churchill,1,1,4,0.725,1.81,2.595,4.415,7.485,10.3,13.44,11.63,0.2203,0.2201,0.2202,0.0875,0.0867,0.0871,0.3073,alive
36,15,B,uninvaded,sterile,Churchill,1,1,2,0.57,2.705,5.06,7.295,10.885,14.71,18.5,15.795,0.2421,0.2418,0.24195,0.1061,0.1053,0.1057,0.34765,alive
37,7,A,invaded,live,Churchill,1,1,2,0.76,1.605,5.04,7.68,10.62,14.59,18.92,17.315,0.2269,0.2271,0.227,0.0797,0.0787,0.0792,0.3062,alive
38,12,B,uninvaded,live,airport,1,1,4,0.69,2.27,5.13,6.535,9.83,12.95,14.725,12.455,0.2159,0.2151,0.2155,0.0834,0.0825,0.08295,0.29845,alive
