ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,ramets,above1,above2,above,below1,below2,below,biomass,status
1,6,A,invaded,sterile,Churchill,1,3,2,0.59,1.54,2.155,4.07,6.145,8.385,9.91,7.755,6,0.1635,0.1633,0.1634,0.0561,0.056,0.05605,0.21945,alive
2,1,B,uninvaded,sterile,Churchill,1,3,2,0.35,1.145,1.835,3.94,6.675,11.02,14.125,12.29,5,0.1903,0.1908,0.19055,0.0458,0.0464,0.0461,0.23665,alive
3,9,A,invaded,live,airport,1,3,2,0.445,1.59,2.74,4.8,7.15,10.385,12.34,9.6,5,0.1241,0.1238,0.12395,0.0239,0.0237,0.0238,0.14775,alive
4,18,B,uninvaded,live,CNSC,1,3,2,0.315,1.65,2.08,2.495,4.06,6.905,9.29,7.21,,0.0576,0.0576,0.0576,0.015,0.0155,0.01525,0.07285,alive
5,18,A,invaded,sterile,CNSC,1,3,2,0.45,1.61,3.5,6.28,10.07,11.33,16.49,12.99,4,0.3022,0.3019,0.30205,0.0806,0.0805,0.08055,0.3826,alive
6,16,A,invaded,sterile,airport,1,3,2,0.31,0.705,1.435,3.26,7.17,12.565,15.53,14.095,2,0.2372,0.2371,0.23715,0.0752,0.0755,0.07535,0.3125,alive
7,8,A,invaded,live,Churchill,1,3,2,0.21,0.68,2.86,5.87,9.605,12.37,13.6,10.74,4,0.126,0.1258,0.1259,0.0367,0.0367,0.0367,0.1626,alive
8,8,B,uninvaded,live,Churchill,1,3,2,0.36,1.46,3.48,4.68,7.38,11.715,14.08,10.6,3,0.1466,0.1467,0.14665,0.0445,0.0442,0.04435,0.191,alive
9,14,B,uninvaded,live,Churchill,1,3,2,0.3,1.4,2.77,5.995,8.915,12.565,16.12,13.35,3,0.1752,0.1745,0.17485,0.0371,0.0374,0.03725,0.2121,alive
10,6,A,invaded,live,Churchill,1,3,0,,1.58,2.93,4.18,6.87,10.765,16.645,13.715,3,0.1544,0.1549,0.15465,0.0312,0.0315,0.03135,0.186,alive
11,12,B,uninvaded,sterile,airport,1,3,2,0.29,1.43,1.955,5.055,6.995,9.37,14.54,12.585,4,0.1397,0.1399,0.1398,0.0325,0.0329,0.0327,0.1725,alive
12,7,A,invaded,sterile,Churchill,1,3,2,0.28,0.86,1.715,3.36,6.41,9.695,12.57,10.855,4,0.0691,0.0685,0.0688,0.0164,0.0165,0.01645,0.08525,alive
13,9,B,uninvaded,sterile,airport,1,3,2,0.21,0.74,1.75,3.75,6.695,11.565,16.62,14.87,4,0.1118,0.1116,0.1117,0.0268,0.0267,0.02675,0.13845,alive
14,7,B,uninvaded,sterile,Churchill,1,3,0,,0.55,dead,,,,,#VALUE!,,,,,,,,NA,dead
15,6,B,uninvaded,live,Churchill,1,3,0,,0.602,1.08,dead,,,,-1.08,,,,,,,,NA,dead
16,7,B,uninvaded,live,Churchill,1,3,2,0.48,0.78,1.93,3.82,7.225,10.43,14.525,12.595,4,0.1601,0.1598,0.15995,0.0297,0.0295,0.0296,0.18955,alive
17,1,A,invaded,sterile,Churchill,1,3,0,,0.61,dead,,,,,#VALUE!,,,,,,,,NA,dead
18,17,B,uninvaded,sterile,CNSC,1,3,0,,0.9,2.195,4.12,5.09,6.57,7.31,5.115,3,0.0152,0.0154,0.0153,0.0013,0.0012,0.00125,0.01655,alive
19,12,A,invaded,live,airport,1,3,2,0.3,0.76,2.785,5.17,7.12,11.4,13.09,10.305,4,0.0634,0.0631,0.06325,0.0074,0.0075,0.00745,0.0707,alive
20,8,B,uninvaded,sterile,Churchill,1,3,0,,0.705,1.7,4.2,8.93,10.555,14.23,12.53,2,0.0772,0.0774,0.0773,0.0161,0.0155,0.0158,0.0931,alive
21,10,B,uninvaded,sterile,airport,1,3,2,0.385,1.15,3.22,6.31,9.86,14.8,19.115,15.895,6,0.2181,0.2186,0.21835,0.0712,0.0707,0.07095,0.2893,alive
22,9,B,uninvaded,live,airport,1,3,2,0.2,0.985,1.89,4.3,7.525,13.08,15.515,13.625,5,0.1687,0.1686,0.16865,0.0473,0.0472,0.04725,0.2159,alive
23,1,A,invaded,live,Churchill,1,3,0,,0.66,1.755,3.525,7.245,8.945,13.66,11.905,5,0.1496,0.1495,0.14955,0.017,0.0166,0.0168,0.16635,alive
