sample_id,site_number,site_ab,invaded_status,location,latitude,longitude,date_time,P,C,N,pH1,pH2,pH3,avg_pH,notes
1A,1,A,invaded,Churchill,58.77346,-94.18855,8-14-20 12:00 AM,95.2,9.92,0.52,7.62,7.69,7.4,7.57,
1B,1,B,uninvaded,Churchill,58.77346,-94.18855,8-14-20 12:00 AM,42.4,5.47,0.12,7.45,7.52,7.38,7.45,
6A,2,A,invaded,Churchill,58.77246,-94.18699,8-14-20 12:00 AM,4.63,2.22,0,7.6,7.67,7.4,7.556666667,total N < 0.02
6B,2,B,uninvaded,Churchill,58.77246,-94.18699,8-14-20 12:00 AM,8.31,1.74,0,7.55,7.46,7.48,7.496666667,total N < 0.02
7A,3,A,invaded,Churchill,58.7789,-94.19338,8-26-20 12:00 AM,33.6,5.49,0.1,7.4,7.33,7.66,7.463333333,
7B,3,B,uninvaded,Churchill,58.7789,-94.19338,8-26-20 12:00 AM,77.2,4.93,0.2,7.53,7.6,7.4,7.51,
8A,4,A,invaded,Churchill,58.77887,-94.19292,8-14-20 12:00 AM,12.1,4.4,0.11,7.58,7.65,7.64,7.623333333,
8B,4,B,uninvaded,Churchill,58.77887,-94.19292,8-26-20 12:00 AM,22.5,7.7,0.35,7.61,7.51,7.38,7.5,
9A,5,A,invaded,airport,58.75553,-94.0862,8-24-20 12:00 AM,7.55,6.07,0.04,7.67,7.78,7.82,7.756666667,
9B,5,B,uninvaded,airport,58.75553,-94.0862,8-24-20 12:00 AM,11.4,6.86,0.07,7.69,7.49,7.86,7.68,
10A,6,A,invaded,airport,58.74913,-94.08708,8-24-20 12:00 AM,117,18.35,1.81,7.59,7.17,7.38,7.38,
10B,6,B,uninvaded,airport,58.74913,-94.08708,8-24-20 12:00 AM,66.3,9.74,0.5,7.5,7.41,7.56,7.49,
11A,7,A,invaded,airport,58.74967,-94.08649,8-24-20 12:00 AM,84.8,7.72,0.61,7.12,7.17,7.25,7.18,
11B,7,B,uninvaded,airport,58.74967,-94.08649,8-24-20 12:00 AM,50.4,5.6,0.36,7.42,7.48,7.6,7.5,
12A,8,A,invaded,airport,58.74644,-94.09373,8-24-20 12:00 AM,118,14.45,1.23,7.2,7.34,7.31,7.283333333,
12B,8,B,uninvaded,airport,58.74644,-94.09373,8-24-20 12:00 AM,118,17.09,1.67,7.47,7.35,7.51,7.443333333,
13A,9,A,invaded,airport,58.74452,-94.10307,8-24-20 12:00 AM,83.9,20.34,1.91,7.17,7.15,7.26,7.193333333,
13B,9,B,uninvaded,airport,58.74452,-94.10307,8-24-20 12:00 AM,142,11.45,1,7.46,7.45,7.46,7.456666667,
14A,10,A,invaded,Churchill,58.77745,-94.18886,8-26-20 12:00 AM,53.2,21.08,0.61,7.5,7.46,7.55,7.503333333,
14B,10,B,uninvaded,Churchill,58.77745,-94.18886,8-26-20 12:00 AM,46,11.78,0.46,7.6,7.49,7.47,7.52,
15A,11,A,invaded,Churchill,58.77907,-94.18317,8-26-20 12:00 AM,56.6,30.4,2.53,7.2,7.11,7.19,7.166666667,
15B,11,B,uninvaded,Churchill,58.77907,-94.18317,8-26-20 12:00 AM,28.8,10.53,0.64,7.35,7.48,7.29,7.373333333,
16A,12,A,invaded,airport,58.73304,-94.10395,8-26-20 12:00 AM,49.9,8.83,0.5,7.55,7.33,7.52,7.466666667,
16B,12,B,uninvaded,airport,58.73304,-94.10395,8-26-20 12:00 AM,30.4,4.89,0.17,7.66,7.8,7.92,7.793333333,
17A,13,A,invaded,CNSC,58.73748,-93.8204,8-26-20 12:00 AM,31.2,8.42,0.51,7.98,7.54,7.67,7.73,
17B,13,B,uninvaded,CNSC,58.73748,-93.8204,8-26-20 12:00 AM,33,8.35,0.51,6.91,6.89,6.99,6.93,
18A,14,A,invaded,CNSC,58.73764,-93.82043,8-26-20 12:00 AM,52.9,6.11,0.3,7.53,7.54,7.62,7.563333333,
18B,14,B,uninvaded,CNSC,58.73764,-93.82043,8-26-20 12:00 AM,1.98,6.11,0.04,7.7,7.81,7.88,7.796666667,
